2025-06-07 15:15:01,970 - chess_cot_generation - INFO - Starting chess COT generation with performance optimizations
2025-06-07 15:15:01,970 - chess_cot_generation - INFO - Configuration: Workers=8, Batch_Size=32, Top_K=5
2025-06-07 15:15:03,453 - chess_cot_generation - INFO - Ray initialized with 8 workers
2025-06-07 15:15:03,454 - chess_cot_generation - INFO - Creating Stockfish workers...
2025-06-07 15:15:05,499 - chess_cot_generation - INFO - 8 Stockfish workers created
2025-06-07 15:15:05,499 - chess_cot_generation - INFO - Initializing FEN generator from: /media/maxime/385e67e0-8703-4723-a0bc-af3a292fd030/stockfish_data/Leela_training
2025-06-07 15:15:05,500 - chess_cot_generation - INFO - Using real dir_iterator
2025-06-07 15:15:05,500 - chess_cot_generation - INFO - Starting processing loop for up to 1000000 batches
2025-06-07 18:23:49,669 - chess_cot_generation - INFO - Performance Stats - Batch 440: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 14112, CPU: 88.3%, Memory: 46.5%
2025-06-07 18:28:14,328 - chess_cot_generation - INFO - Performance Stats - Batch 450: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 14432, CPU: 87.6%, Memory: 46.5%
2025-06-07 18:32:35,920 - chess_cot_generation - INFO - Performance Stats - Batch 460: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 14752, CPU: 86.7%, Memory: 46.6%
2025-06-07 18:36:55,959 - chess_cot_generation - INFO - Performance Stats - Batch 470: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 15072, CPU: 84.8%, Memory: 46.5%
2025-06-07 18:41:13,277 - chess_cot_generation - INFO - Performance Stats - Batch 480: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 15392, CPU: 86.5%, Memory: 46.6%
2025-06-07 18:45:29,102 - chess_cot_generation - INFO - Performance Stats - Batch 490: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 15712, CPU: 87.4%, Memory: 46.5%
2025-06-07 18:49:44,765 - chess_cot_generation - INFO - Performance Stats - Batch 500: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 16032, CPU: 87.7%, Memory: 46.9%
2025-06-07 18:53:56,791 - chess_cot_generation - INFO - Performance Stats - Batch 510: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 16352, CPU: 88.2%, Memory: 46.8%
2025-06-07 18:58:15,748 - chess_cot_generation - INFO - Performance Stats - Batch 520: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 16672, CPU: 84.4%, Memory: 46.5%
2025-06-07 19:02:29,730 - chess_cot_generation - INFO - Performance Stats - Batch 530: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 16992, CPU: 86.5%, Memory: 46.9%
2025-06-07 19:07:03,447 - chess_cot_generation - INFO - Performance Stats - Batch 540: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 17312, CPU: 85.8%, Memory: 46.6%
2025-06-07 19:11:26,455 - chess_cot_generation - INFO - Performance Stats - Batch 550: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 17632, CPU: 86.6%, Memory: 46.6%
2025-06-07 19:15:40,393 - chess_cot_generation - INFO - Performance Stats - Batch 560: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 17952, CPU: 85.7%, Memory: 46.5%
2025-06-07 19:19:53,086 - chess_cot_generation - INFO - Performance Stats - Batch 570: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 18272, CPU: 86.0%, Memory: 46.5%
2025-06-07 19:24:03,066 - chess_cot_generation - INFO - Performance Stats - Batch 580: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 18592, CPU: 86.6%, Memory: 46.7%
2025-06-07 19:28:22,708 - chess_cot_generation - INFO - Performance Stats - Batch 590: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 18912, CPU: 85.8%, Memory: 46.6%
2025-06-07 19:32:44,446 - chess_cot_generation - INFO - Performance Stats - Batch 600: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 19232, CPU: 87.2%, Memory: 46.8%
2025-06-07 19:36:55,184 - chess_cot_generation - INFO - Performance Stats - Batch 610: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 19552, CPU: 85.0%, Memory: 46.6%
2025-06-07 19:41:12,464 - chess_cot_generation - INFO - Performance Stats - Batch 620: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 19872, CPU: 85.3%, Memory: 46.9%
2025-06-07 19:45:25,370 - chess_cot_generation - INFO - Performance Stats - Batch 630: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 20192, CPU: 86.3%, Memory: 46.8%
2025-06-07 19:49:36,951 - chess_cot_generation - INFO - Performance Stats - Batch 640: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 20512, CPU: 85.8%, Memory: 46.5%
2025-06-07 19:54:04,602 - chess_cot_generation - INFO - Performance Stats - Batch 650: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 20832, CPU: 85.9%, Memory: 47.0%
2025-06-07 19:58:28,440 - chess_cot_generation - INFO - Performance Stats - Batch 660: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 21152, CPU: 89.2%, Memory: 47.6%
2025-06-07 20:02:45,865 - chess_cot_generation - INFO - Performance Stats - Batch 670: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 21472, CPU: 87.8%, Memory: 47.1%
2025-06-07 20:07:01,308 - chess_cot_generation - INFO - Performance Stats - Batch 680: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 21792, CPU: 88.4%, Memory: 47.3%
2025-06-07 20:11:15,819 - chess_cot_generation - INFO - Performance Stats - Batch 690: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 22112, CPU: 87.9%, Memory: 47.5%
2025-06-07 20:15:31,700 - chess_cot_generation - INFO - Performance Stats - Batch 700: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 22432, CPU: 85.8%, Memory: 47.1%
2025-06-07 20:19:49,317 - chess_cot_generation - INFO - Performance Stats - Batch 710: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 22752, CPU: 89.5%, Memory: 47.2%
2025-06-07 20:24:05,414 - chess_cot_generation - INFO - Performance Stats - Batch 720: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 23072, CPU: 86.2%, Memory: 47.0%
2025-06-07 20:28:11,271 - chess_cot_generation - INFO - Performance Stats - Batch 730: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 23392, CPU: 87.3%, Memory: 47.1%
2025-06-07 20:32:27,758 - chess_cot_generation - INFO - Performance Stats - Batch 740: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 23712, CPU: 84.1%, Memory: 47.3%
2025-06-07 20:36:41,625 - chess_cot_generation - INFO - Performance Stats - Batch 750: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 24032, CPU: 86.0%, Memory: 47.2%
2025-06-07 20:40:58,204 - chess_cot_generation - INFO - Performance Stats - Batch 760: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 24352, CPU: 86.9%, Memory: 47.3%
2025-06-07 20:45:07,818 - chess_cot_generation - INFO - Performance Stats - Batch 770: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 24672, CPU: 85.2%, Memory: 47.3%
2025-06-07 20:49:28,826 - chess_cot_generation - INFO - Performance Stats - Batch 780: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 24992, CPU: 88.2%, Memory: 47.1%
2025-06-07 20:53:47,677 - chess_cot_generation - INFO - Performance Stats - Batch 790: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 25312, CPU: 83.7%, Memory: 47.1%
2025-06-07 20:58:07,986 - chess_cot_generation - INFO - Performance Stats - Batch 800: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 25632, CPU: 86.0%, Memory: 47.4%
2025-06-07 21:02:33,908 - chess_cot_generation - INFO - Performance Stats - Batch 810: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 25952, CPU: 87.5%, Memory: 47.1%
2025-06-07 21:06:44,666 - chess_cot_generation - INFO - Performance Stats - Batch 820: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 26272, CPU: 90.8%, Memory: 47.1%
2025-06-07 21:10:50,318 - chess_cot_generation - INFO - Performance Stats - Batch 830: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 26592, CPU: 87.2%, Memory: 47.1%
2025-06-07 21:15:19,493 - chess_cot_generation - INFO - Performance Stats - Batch 840: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.8%, Total Processed: 26912, CPU: 89.1%, Memory: 47.0%
2025-06-07 21:19:48,196 - chess_cot_generation - INFO - Performance Stats - Batch 850: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 27232, CPU: 84.7%, Memory: 46.9%
2025-06-07 21:23:58,712 - chess_cot_generation - INFO - Performance Stats - Batch 860: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 27552, CPU: 87.4%, Memory: 47.4%
2025-06-07 21:28:19,108 - chess_cot_generation - INFO - Performance Stats - Batch 870: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.8%, Total Processed: 27872, CPU: 88.5%, Memory: 47.1%
2025-06-07 21:32:31,757 - chess_cot_generation - INFO - Performance Stats - Batch 880: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.8%, Total Processed: 28192, CPU: 86.2%, Memory: 47.6%
2025-06-07 21:36:48,065 - chess_cot_generation - INFO - Performance Stats - Batch 890: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.8%, Total Processed: 28512, CPU: 86.3%, Memory: 47.3%
2025-06-07 21:41:00,707 - chess_cot_generation - INFO - Performance Stats - Batch 900: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 28832, CPU: 84.6%, Memory: 47.5%
2025-06-07 21:45:14,910 - chess_cot_generation - INFO - Performance Stats - Batch 910: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 29152, CPU: 86.7%, Memory: 47.3%
2025-06-07 21:49:41,839 - chess_cot_generation - INFO - Performance Stats - Batch 920: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.8%, Total Processed: 29472, CPU: 87.9%, Memory: 47.3%
2025-06-07 21:54:00,845 - chess_cot_generation - INFO - Performance Stats - Batch 930: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.8%, Total Processed: 29792, CPU: 88.0%, Memory: 47.1%
2025-06-07 21:58:22,072 - chess_cot_generation - INFO - Performance Stats - Batch 940: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.8%, Total Processed: 30112, CPU: 86.3%, Memory: 46.8%
2025-06-07 22:02:41,825 - chess_cot_generation - INFO - Performance Stats - Batch 950: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 30432, CPU: 85.0%, Memory: 47.0%
2025-06-07 22:06:50,679 - chess_cot_generation - INFO - Performance Stats - Batch 960: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 30752, CPU: 86.7%, Memory: 46.8%
2025-06-07 22:11:09,457 - chess_cot_generation - INFO - Performance Stats - Batch 970: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 31072, CPU: 86.0%, Memory: 46.7%
2025-06-07 22:15:28,838 - chess_cot_generation - INFO - Performance Stats - Batch 980: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 31392, CPU: 84.8%, Memory: 46.9%
2025-06-07 22:19:58,069 - chess_cot_generation - INFO - Performance Stats - Batch 990: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 31712, CPU: 86.3%, Memory: 47.2%
2025-06-07 22:24:13,133 - chess_cot_generation - INFO - Performance Stats - Batch 1000: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 32032, CPU: 85.6%, Memory: 46.8%
2025-06-07 22:28:26,975 - chess_cot_generation - INFO - Performance Stats - Batch 1010: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 32352, CPU: 85.2%, Memory: 46.7%
2025-06-07 22:32:40,558 - chess_cot_generation - INFO - Performance Stats - Batch 1020: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 32672, CPU: 86.3%, Memory: 47.1%
2025-06-07 22:36:52,510 - chess_cot_generation - INFO - Performance Stats - Batch 1030: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 32992, CPU: 87.6%, Memory: 47.0%
